,name,img,video
80,"[15분 레시피] 샘킴 셰프의 'Hey, Come 면!'",https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190702_111839_778_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10305790/view
81,[15분 레시피] 송훈 셰프의 'T.O.P 돔',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190702_111418_397_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10305788/view
82,[15분 레시피] 레이먼킴 셰프의 '퍼펙트 돔',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190702_111029_847_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10305786/view
83,[15분 레시피] 오세득 셰프의 '돼지 파국이다!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190625_102150_050_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10304386/view
84,[15분 레시피] 유현수 셰프의 '비지창조',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190625_101944_762_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10304384/view
85,[15분 레시피] 김풍 작가의 '유자라면 다가와♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190625_101637_244_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10304378/view
86,[15분 레시피] 이연복 셰프의 '해결쌈',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190625_101024_023_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10304376/view
87,[15분 레시피] 김풍 작가의 '하와이안 풍딩',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190618_102541_285_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10302739/view
88,[15분 레시피] 송훈 셰프의 '파리지엥 케이크',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190618_102403_887_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10302737/view
89,[15분 레시피] 이연복 셰프의 '의기양양',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190618_102220_644_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10302735/view
